Check,Year,Formula,Expected,Actual,Difference,Status,Notes
intangible_capex_check,2030,workplace_ai_ip_value+contact_center_ai_ip_value,0.0,0.0,0.0,OK,
total_capex_check,2030,tangible_capex+intangible_capex,396000000.0,396000000.0,0.0,OK,
datacenter_construction_capex_check,2030,total_component_rub*construction_flag,0.0,0.0,0.0,OK,
office_capex_depreciation_check,2030,sum office depreciation components,2038857.142857143,2038857.142857143,0.0,OK,
total_ppe_depreciation_check,2030,gpu_depreciation+datacenter_depreciation+office_capex_depreciation,1117134697.142857,1117134697.1428573,2.384185791015625e-07,OK,
ip_amortization_check,2030,workplace_ai_amortization+contact_center_ai_amortization,61512750.0,61512750.0,0.0,OK,
total_depreciation_and_amortization_check,2030,total_ppe_depreciation+ip_amortization,1178647447.1428573,1178647447.1428573,0.0,OK,
gpu_rental_opex_check,2030,rented_gpu*rental_price_per_gpu_per_year,0.0,0.0,0.0,OK,
electricity_cost_check,2030,electricity_kwh*electricity_price_t,131755003.38000003,131755003.38000003,0.0,OK,
total_datacenter_opex_check,2030,electricity+maintenance+network+land+other,438291532.48650014,438291532.48650014,0.0,OK,
team_opex_check,2030,annual_core_team_cash_cost-capitalized_core_team_cost,1110492018.1555207,1110492018.1555207,0.0,OK,
total_sga_check,2030,annual_fixed_sga+annual_office_rent,158817852.14400005,158817852.14400005,0.0,OK,
pricing_base_check,2030,total_cogs+total_depreciation_and_amortization,2727430997.784878,2727430997.784878,0.0,OK,
workplace_token_share_check,2030,workplace_annual_tokens/total_annual_tokens,0.8691649539486332,0.8691649539486332,0.0,OK,
contact_center_token_share_check,2030,contact_center_annual_tokens/total_annual_tokens,0.13083504605136673,0.13083504605136673,0.0,OK,
workplace_revenue_check,2030,workplace_pricing_base/(1-margin)*availability,3647057596.2888737,3647057596.2888737,0.0,OK,
contact_center_revenue_check,2030,contact_center_pricing_base/(1-margin)*availability,548990092.6109378,548990092.6109377,-1.1920928955078125e-07,OK,
total_revenue_check,2030,workplace_ai_revenue+contact_center_ai_revenue,4196047688.8998113,4196047688.8998113,0.0,OK,
total_cogs_check,2030,total_datacenter_opex+total_team_opex+annual_gpu_rental_cost,1548783550.6420207,1548783550.6420207,0.0,OK,
gross_profit_check,2030,total_revenue-total_cogs,2647264138.2577906,2647264138.2577906,0.0,OK,
ebitda_check,2030,gross_profit-total_sga,2488446286.1137905,2488446286.1137905,0.0,OK,
ebit_check,2030,ebitda-total_depreciation_and_amortization,1309798838.9709332,1309798838.9709332,0.0,OK,
ebt_check,2030,ebit-interest_expense,1099754075.1492462,1099754075.1492462,0.0,OK,
profit_tax_check,2030,"max(ebt,0)*tax_rate",274938518.78731155,274938518.78731155,0.0,OK,
net_income_check,2030,ebt-profit_tax,824815556.3619347,824815556.3619347,0.0,OK,
operating_cash_flow_check,2030,net_income+total_depreciation_and_amortization,2003463003.504792,2003463003.504792,0.0,OK,
investing_cash_flow_check,2030,-gpu_infra-dc-office-intangible,-396000000.0,-396000000.0,0.0,OK,
pre_financing_cash_flow_check,2030,operating_cash_flow+investing_cash_flow,1607463003.504792,1607463003.504792,0.0,OK,
financing_cash_flow_check,2030,equity_injection+revolver_drawdown-revolver_repayment,-1501687180.979832,-1501687180.979832,0.0,OK,
net_cash_flow_check,2030,pre_financing_cash_flow+financing_cash_flow,105775822.52496004,105775822.52496004,0.0,OK,
funding_need_check,2030,"max(-closing_cash_before_funding,0)",0.0,0.0,0.0,OK,
minimum_cash_balance_check,2030,(total_team_opex+total_sga+annual_gpu_rental_cost)/12*months_of_fixed_costs,105775822.52496006,105775822.52496006,0.0,OK,
revolver_balance_check,2030,opening_revolver_balance+drawdown-repayment,24977442.754839182,24977442.754839182,0.0,OK,
interest_expense_check,2030,average_revolver_balance*revolver_interest_rate,210044763.82168698,210044763.82168698,0.0,OK,
closing_cash_after_funding_check,2030,cash_after_drawdown-revolver_repayment,105775822.52496004,105775822.52496004,0.0,OK,
net_ppe_check,2030,gross_ppe-accumulated_depreciation,2703177394.285715,2703177394.285715,0.0,OK,
net_intangible_assets_check,2030,gross_intangible_assets-accumulated_amortization,0.0,0.0,0.0,OK,
total_assets_check,2030,cash+net_ppe+net_intangible_assets,2808953216.810675,2808953216.810675,0.0,OK,
total_equity_check,2030,paid_in_capital+retained_earnings,2783975774.055836,2783975774.055836,0.0,OK,
